siteName,optimaSiteIdStr
Brunswick SFS 6426,ce5ab41d-3168-40ba-a74d-b3bb0067cde5
Burnie Warehouse 4453,1a574ae6-8e75-491f-ab04-b3bb0067dba0
Cromer Trade Centre 7328,65cf6ed6-8770-4570-bb1b-b3bb00679232
Devonport Warehouse 4468,83c0f00f-0d31-4c58-8534-b3bb0067d9a6
Glenorchy Warehouse 4455,56bea1e5-1017-4c30-bba5-b3bb0067db42
Horsham SFS 6420,00e69d06-6737-4cb4-ab1a-b3bb00679d95
Kings Meadows Warehouse 4422,96936124-ce0a-4d40-a79f-b3bb0067dc70
Kingston Warehouse 4457,6fe2b1aa-7436-4af0-ba2e-b3bb0067dae0
Mornington (TAS) Warehouse 4467,ed020af4-74e5-419a-b7cf-b3bb0067da28
Mornington Trade Centre 4450,1a0b011f-181f-42d5-a476-b3bb0067dc17
Narrabeen SFS 7159,b4c2c3ba-b947-4cab-bb1e-b3bb00678745
North Launceston Warehouse 4466,7ec546f5-a4a7-4e81-b4e0-b3bb0067da86
Rosebud Warehouse 6075,b1be4e74-c8f2-47dc-8ba6-b3bb00677b04
Smeaton Grange DC 7397,4bb83d17-5a74-4448-9720-b3bb0067e18a
Unanderra Trade Centre 7305,2485413b-cd5f-4709-ad94-b3bb00679514
West Gosford Warehouse 7321,dec5af38-ed19-4bd4-96b8-b3bb0067c56a
